author,comment,voteCount,replyCount,channel,country,class
@kalliyahray1049,But they want u too feel bad for Jewish ppl ! They gone get get what they have coming!,0,0,BBC News,England,1
@onenote6619,"At what point does the guilt engendered by murder and starvation of Jewish people become outweighed by the murder and starvation of Palestinians? I honestly don't know. But I do know that if Israel keeps this up, eventually that tipping point will be reached. For a people surrounded by enemies, making the rest of the world perceive them as evil has to be a terrible move.",0,0,BBC News,England,1
@tomhenry897,Not dancing now,0,0,BBC News,England,1
@vsboy2577,IDF ran over a grave site with tanks. Crazy stuff,0,0,BBC News,England,0
@bhaskarc122,"Now time to pray, Now time to peace, Now time to unite of 12 tribes of Israel Christians, Now time to have greater Israel. Now time to keep Ten commandments, Now time to love and obey God. God bless Greater Israel, PM. Netanyahu and family, IDF.",0,0,BBC News,England,0
@virgiliobatas3395,Bias media the same al Jazeera media,0,0,BBC News,England,1
@Lilian-fh2ve,"May   ALMIGHTY LORD BLESS ISRAEL 
AND ALWAYS PROTECT ISRAEL AND
.IDF....LORD CAN DO EVERTING FOR ISRAEL and we thanks
The Lord",0,0,BBC News,England,2
@user-hn1zw5lm8v,....3 peridio to los anaslisis beck.inisial..k.p... vs kajrng.. kopi.. kb.5rp... n nazr. To mus pdw???beck.. paijem sungingan n asu tresnik n asu porjo n asu.. noboyo.. n arum.b.. n... .. sri csh yono..dekorat????v,0,0,BBC News,England,1
@jarosawbielski2301,"Doesn't Wisdom beckon?
and prudence does not raise her voice?",0,0,BBC News,England,1
@markbowden7238,Bullshit Corporation,0,0,BBC News,England,1
@musadube1647,You are reporting what you want us to believe on the contrary we are not fools,0,0,BBC News,England,1
@MuminRosdi-zc8wl,"The UN and many countries across the world have double standards, I doubt they will ceasefire after having their own nation attacked by terrorists",0,0,BBC News,England,1
@ManuelSandoval-zp4dh,How many filters to purify water could have been bought with the money used in rockets and tunnels?,0,0,BBC News,England,1
@benjamin3922,"Weren’t they running out of food water hospital supplies and fuel two months ago? I don’t doubt there is a dire situation. And a dangerous one. But all the civilians in Gaza look very healthy, fed, and hydrated. Typhus  should have said in a 6 weeks  ago.",0,0,BBC News,England,1
@johncollier3175,Isreal is totally in the right. The palistinian civilians make up hamas. Wake up !,0,0,BBC News,England,1
@BaileyOlsem-jp4rb,You said dosens died..where do you get the statistics????Hamas ministry of health ,0,0,BBC News,England,1
@IslamIsTheSolution98,"To Israel - The Doors of Repentance are open. Don’t leave it until it’s too late!

“And your god is one God. There is no deity [worthy of worship] except Him, the Entirely Merciful, the Especially Merciful.” Quran 2:163

“Say: My servants who have wronged yourselves, never despair of God’s mercy. God forgives all sins: He is truly the Most Forgiving, the Most Merciful.” [Qur’an, 39.53]

“The Messenger of Allah (peace be upon him) said: ‘If a person accepts Islam, such that his Islam is good, Allah will decree reward for every good deed that he did before, and every bad deed that he did before will be erased. Then after that will come the reckoning; each good deed will be rewarded ten times up to seven hundred times. And each bad deed will be recorded as it is, unless Allah, the Mighty and Sublime, forgives it.'” [Sunan an-Nasa’i]

Indeed disbelief is an evil thing. It does not show the right way. The definitions of  truth, logic and justice are warped and different for every person. There is no fear of reprisal or punishment of hellfire. There is a false sense of security due to misbelief in redemption. Somehow or another, no matter how nice a disbelieving person is, they will do injustice to others - sometimes not even realising they are doing it. Even the nicest people can turn ugly and harm people after drinking alcohol, for example. Allah, out of His mercy on us, hates that we harm each other. Only if we sincerely follow His commands and the teachings of His Prophet (peace be to him) such evils can be avoided. This applies to Muslims too of course. But disbelief also means denying the rights of the Creator, and believing about Him what He told us, His Books and His Messengers, and distinguishing between them, rejecting sone while accepting others. How wretched that a soul denies the One who created it and rejects what He revealed as if he/she know better!?

God’s Warning to Those who Disbelieve 

Allaah, The Exalted, says (what means): {...And your Lord does injustice to no one.} [Quran 18:49] Moreover, the Qudsi hadeeth reads, ""Oh! My servants, I have made injustice unlawful for Me and unlawful for you, so do not commit injustice against one another."" [Muslim]

 ""…Indeed, We have prepared for the wrongdoers a fire whose walls will surround them. And if they call for relief, they will be relieved with water like murky oil, which scalds [their] faces. Wretched is the drink, and evil is the resting place."" [Quran 18: 29]

""On the Day the punishment will cover them from above them and from below their feet and it is said, 'Taste [the result of] what you used to do.'"" [Quran 29: 55]

 ""Indeed, the criminals are in error and madness. The Day they are dragged into the Fire on their faces [it will be said], 'Taste the touch of Saqar (i.e., Hell).'"" [Quran 54: 47-48]

{[He] Who created death and life to test you [as to] which of you is best in deed - and He is the Exalted in Might, the Forgiving.} [Quran 67:2]

And it is He Who produced for you hearing and vision and hearts; little are you grateful.} [Quran 23:78] 

{But indeed, I am the Perpetual Forgiver of whoever repents and believes and does righteousness and then continues in guidance.} [Ta-Ha 20:82]

There’s still time. Don’t leave it until it’s too late!

The Prophet, sallallaahu ‘alayhi wa sallam, said that Allaah The Almighty accepts repentance at all times, except when the soul reaches the throat at the time of death. [Ahmad and others, Al-Arnaa’oot and Al-Albaani declared this Hadeeth as (Hasan)]

May Allah guide all humanity to Islam. Ameen",0,0,BBC News,England,1
@user-dw8xp9jx9x,‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍,0,0,BBC News,England,1
@Naveen-wp7oy,God bless Israel,0,0,BBC News,England,1
@MohammeadMustahapah-oy7kr,"Alahu,abur",1,0,BBC News,England,1
@ricohaynes-mg8wq,Gaza Mi seh,0,0,BBC News,England,0
@ezrardstewart8731,Blind hatred plus ambition  equal self distruction.,0,0,BBC News,England,1
@matthewbeckett8994,Is it fighting if one of the two parties isn't fighting back?,0,0,BBC News,England,2
@ryanrodrigues1166,️‍,0,0,BBC News,England,1
@user-gy3ef6rd2n,ПРОВОКАТОРЫ  КРОВАЖАДНЫХ.,1,0,BBC News,England,1
@user-gy3ef6rd2n,ИЗРАИЛЬТЯНЕ  УБИВАЛИ КАЖДЫЙ ДЕНЬ ПАЛЕСТИНЦЫ.,2,0,BBC News,England,1
@CfitaaxmaxamedCfitaaxmaxamed,Down Isreal ana Nato,0,0,BBC News,England,1
@SamSam-wd3ci,Terrorrist leaders hiding the same place.,0,1,BBC News,England,0
@user-jk1pg8pv5v,زندباد مجاهدین اسلام,0,0,BBC News,England,1
@user-bo4db6xj3p,Поганый  правду  говори   мы уже  знаем  как  европейский  телвидени  под  ногами  нетеняхуй,0,0,BBC News,England,1
@user-kq2st1zu2k,India is infiltrated with Middle East and Russia and China.  Your British Prime Minister is infiltrated with Hinduism. Hindus wanna beg to built temple's and Muslim folows to beg to built Mosques.,0,0,BBC News,England,1
@Cyberlog1,Total satanic and evil!,0,0,BBC News,England,1
@silvinoperez5956,Hamas BBCnews...,0,0,BBC News,England,0
@ededo2930,"https://www.youtube.com/watch?v=IOWuRWCDKsM
https://www.youtube.com/watch?v=iQQuBM4JM_Q
https://www.youtube.com/watch?v=Hx7_IUF5TcI",0,0,BBC News,England,1
@syllablegrainyukraine2758,"Genesis 12:3 NIV: I will bless those who bless you, 
and whoever curses you I will curse;
and all peoples on earth will be blessed through you.""",0,0,BBC News,England,2
@paulburns1333,Islam should be declared as a terrorist organisation and banned in the West along with ALL efforts to promote and trivialise it by liberals and the liberal media.,0,0,BBC News,England,1
@RamprasadPokhrel-qm6ju,You no sak6at bhagwaan ram prasaad Pokhrel,1,0,BBC News,England,1
@buixote,And still the word Genocide is absent from BBC Headlines,0,0,BBC News,England,1
@DCRelaxingrainsoundsleep54,israel is the biggest mafia in the world.,0,0,BBC News,England,1
@kalliyahray1049,Leave and go where ?,0,0,BBC News,England,0
@guli7287,,0,0,BBC News,England,1
@MultiMrrog,hamas/iran chose conflict to derail the peace deal developing between saudi and israel !,0,0,BBC News,England,1
@dav3bassman,Why are we supporting this? Who is pulling our strings?,0,0,BBC News,England,1
@sarahj.5440,The Nazi SS from World War 2 would be so jealous of Israel for being able to legally commit WAR CRIMES in Gaza with total immunity from International Law! All thanks to https://www.jewishvirtuallibrary.org/total-u-s-foreign-aid-to-israel-1949-presen,0,0,BBC News,England,1
@deenaurdunya01,"God is watching how the 8 Billion God preachers are silent on this cruelty, inspite having all the atomic power.They are moving Palestinian from East to West and West to East like animals n killing them on the way. Really horrific. God will ask all of us n will punish all of us. Don't forget this that if the lower portion of hell is for israili jews then upper portion is for us.",1,0,BBC News,England,1
@user-wq6sz7vt3w,Hamas didn’t think this one through properly!,2,0,BBC News,England,0
@gavinlevy1693,"Socialist progressive ideology with context: 
October 7th massacre: of Jewish women and children = oppressors.
 Hamas “freedom fighters” = the oppressed.",0,0,BBC News,England,1
@samuelross9884,"Something like 1/3 of all missiles that Hamas fires into Israel (12,000 since the conflict started) fall short and land in Gaza. 

The Hamas-run 'Health Ministry' counts in their casualty counts Gazan civilians killed by Hamas, by Palestinian Islamic Jihad, by friendly fire, by stray fire, by death from illness and dehydration, by death from Israeli fire. They combine terrorists and civilians into a single number, and the number of deaths is likewise exaggerated. 

Take all that together and you begin to understand why the numbers are jumping from day to day, from 10,000 to 12,000 to 15,000 to 18,000 to 20,000. Basically, add up the number of people who typically die in Gaza on an typical Tuesday + the extra people who have died due to general military conditions on the ground + people who are killed by Hamas + terrorists who are killed by Israel, and you can approach the numbers that the Hamas ‘Health Ministry’ puts out.",0,0,BBC News,England,1
@scottmills6719,"The Hamas leaders in the interest of saving lives need to surrender, they’ve lost.",0,0,BBC News,England,0
@WANTANTEAlimansi,"God's sons busy butchering kids nd women ,i hate those so called holybooks nd its propaganda",0,0,BBC News,England,1
@WANTANTEAlimansi,"God's sons busy butchering kids nd women ,i hate those so called holybooks nd its propaganda",0,0,BBC News,England,1
@user-og2th8tw5m,Water is the most in dispensable. . .,0,0,BBC News,England,0
@wkhan11111,"The elephant in the room : 
The jewish and Christian extremists in Israel and USA make this happen. The jewish extremists want this land 'at all costs' as it has supposedly been promised by their god. And the Christian extremists in the USA support this, as they believe that helping the Jews will 'hasten' the return of their God (Jesus) back to earth.

Piggy backing on these religious extremists aspirations. 
1. Israeli corrupt politicians like Netanyahu, who have a free ride in the name of aparth...al democracy.
2. Oil Corps who want perpetual US presense in the middle east.
3. Military-Industrial complex which makes money, yes real money.
4. The 'Tech' companies of Israel making loads of money, experimenting their technology on the hapless palestinians.",0,0,BBC News,England,2
@ThyharryA,bbc your a  pile of shit,0,0,BBC News,England,1
@TruthSeekerAll,,0,0,BBC News,England,1
@iq-ride9329,"Zionist Kill 
#ZionistWarCrimes

The West Support & Protect
#BidenWarCrimes
#BlinkenWarCrimes
#KirbyWarCrimes
#JakeSullivanWarCrimes
#VedantPatelWarCrimes
#SunakWarCrimes
#ScholtzWarCrimes 
#MacronWarCrimes 

While others watch
#PutinIsComplicit #XiIsComplicit  #AbbasIsTraitor #ArabLeadersareComplicit #MuslimLeadesareComplicit!

So, You Support Israel?
#YouAreWarCrimeComplicit!",0,0,BBC News,England,1
@mosessiburian6302,"From child God peaceful:I am is I am the Lion:Water life),a child of God Yesus (Isay Moses Holy spirit).Peaceful for all of you.This time is the End day Togather Repent nothing compare where you from.For your savior in your life,Walk in the way of God and Yesus in the End.I am Isay Moses Holy spirit ,the way if God Yesus in the End.The peoples is didnt walk in this way will become dust .God bless for all of you.",0,0,BBC News,England,2
@santabanter,No one cares,0,0,BBC News,England,0
@hebagally8567,"Israel pursues a fait accompli policy, it takes proactive stances
There is no evidence that there are tunnels under hospitals, that there are no ambulances transporting terrorists, and that people’s homes are targets for Hamas. It is all a lie and a justification for its fait accompli policy to evade the issue and continue its war and killing of innocents",0,0,BBC News,England,1
@shoka2111,you can't even comment here. This is the height of hypocrisy. you are not allowed to even criticize genocide in Gaza. My earlier comment got deleted.,0,0,BBC News,England,1
@shoka2111,"children in Gaza are dying because of US and UK - they are defending, arming and funding this horror show.",0,0,BBC News,England,0
@shootingsportstransparency7461,Breaking News Israel also using Zyklon B gas to gas people in tunnels. This means that the circle of evil is closed again,0,0,BBC News,England,1
@razaqmayo3206,Israeli products boycott,0,0,BBC News,England,1
@PEACHOFISLAMWAZ,"Boycot,,,,, Israel,,,,, usa,,,, India",1,0,BBC News,England,1
@benzaguru4548,Fake news,0,0,BBC News,England,1
@daisychainsmusicpublishing4789,"Cowards, firing on unarmed civilians. No food, water  and shelter. Shame Israel Shame",0,1,BBC News,England,1
@azizjonqurbanov5082,"Израиль государство ТЕРРОРИСТ‼️
На протяжении многих десятилетий Израиль финансировал Хамас, вёл с Хамас переговоры, выделял Хамас деньги.
Хвалёная супер Разведка Израиля допустила преступную халатность, где привело это всё человеческим трагедиям. Ответственность за Геноцид  Палестинцев несёт правительство Израиля, которая коррумпирована и за проваленную политику Израиля виноваты опять будут мусульмане.
Индюк тоже Думал и в суп попал ⚠️",0,0,BBC News,England,1
