author,comment,voteCount,replyCount,channel,country
@mariela7521,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 46 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,TRT Word,Turkey
@fatinhermiz8729,thank jewish people actually body jew want present way know say divide rule policy imperialism,1,0,TRT Word,Turkey
@khdmhd2947,also palestinian series jew arab cousin belong ancestor child abraham,1,0,TRT Word,Turkey
@smoothsnooze,red heart red heart red heart red heart,0,0,TRT Word,Turkey
@hamisbayoumi7795,semitic people arab jewsmaybe someone need spread arab cant antiseptic semitic,1,0,TRT Word,Turkey
@greenyellow1200,free palestine,0,0,TRT Word,Turkey
@user-fu8mw9ny9m,thank true child god,0,0,TRT Word,Turkey
@santhoshnanjundarao2887,world soil day observed december raise awareness importance soil healthy ecosystem human wellbeing december passed away day observed commemorate unforgettable contribution society achievement,0,0,TRT Word,Turkey
@KING_OF_KINGS_ANDLORD_OF_LORDS,u living earth must wake living end time tribulation jerusalem coming son man see jerusalem surrounded army know destruction near jude flee mountain within city go countryside enter day punishment fulfill written woe child giving suckling day great tribulation earth wrath people fall edge sword carried away captivity nation jerusalem trodden gentile time gentile fulfilled sign sun moon star earth people troubled confused roar sea wave people faint fear coming world power heaven shaken see son man coming cloud power great glory thing begin happen stand lift head redemption draw near brother sister one left person must born child god new life holy spirit enter kingdom heaven john appy face smile jesus answered truly truly say unless person born see kingdom god john father raise dead give life son give life will father judge one committed judgment son hebrew appointed man die judgment christ offered bear sin many appear second time apart sin bring salvation eagerly waiting may lord grace mercy upon everyone red heart,0,0,TRT Word,Turkey
@FreePalestine_____,nothing respect jewish cousin voicing unjust war,3,0,TRT Word,Turkey
@qaiserkhan4318,people like part administration thanks young man may allah bless,1,0,TRT Word,Turkey
@Najda007,great guy thank speaking,1,0,TRT Word,Turkey
@thedarkone5049,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 42 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,1,0,TRT Word,Turkey
@paulpeter-po5rd,name allah merciful boycott first make due boycott everything israel one everyone support including company product service food drink clothing footwear permanently buy emma owned produced product service tell everyone job copy paste comment want ask allah except,1,0,TRT Word,Turkey
@goldarrrdigi8588,strongly condemned israeli occupation terrorism,1,0,TRT Word,Turkey
@magdalen5108,jewish representation defending human right palestinian important ancestor experienced similar trauma genocide,0,0,TRT Word,Turkey
@lawusaputra9451,american citizen wake help u party army get justice brutally massacred isl check documentary film,0,0,TRT Word,Turkey
@trique9776,israel endure end see jesus coming cloud believe saved hell wrath come time believe jesus lord repent trust save,1,0,TRT Word,Turkey
@imranhossein3546,appreciate jewish people stand truth innocent civilian gaza palestine love respect jewish red heart people zionist zionist israeli occupied palestinian land killing innocent child woman men gaza palestine dont want see innocent jewish people israel innocent civilian gaza palestine,1,0,TRT Word,Turkey
@nwankwosampson-xk3jc,dont represent jew either,0,0,TRT Word,Turkey
@user-hf2pn4df8p,nojustic peace world full injustice nation insensitive oppressed stand palestine,2,0,TRT Word,Turkey
@Ana-rb7ws,,0,0,TRT Word,Turkey
@davidf3821,speaking truth another jew horrified israel,3,0,TRT Word,Turkey
@Believerofunseen1309,respect jewish people voice oppression someone belief god never support killing,1,0,TRT Word,Turkey
@trilogy8239,dont ever trust jewish,0,0,TRT Word,Turkey
@brainyclassmates4372,thank sir speaking truth,0,0,TRT Word,Turkey
@user-by2tg1xt7u,thank sir need preserve human right make people safe first priority,0,0,TRT Word,Turkey
@thatsawesome2060,dont understand antiseptic use exclusively towards israel ignoring attacking group semitic people n't held accountable antisemitism,0,1,TRT Word,Turkey
@kroubian,likely brought non religious household ok sound like product brainwashing happening school university,0,0,TRT Word,Turkey
@androidboss,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 35 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,TRT Word,Turkey
@othersbyuri,self hating anti genocide female sign disgusting thank speaking peace,4,0,TRT Word,Turkey
@SajidKhan-jg8bk,red heart red heart red heart,0,1,TRT Word,Turkey
@zargamshams1154,zionist political ideology representation state created man judaism religion representation god created man equate zionist judaism equate two thing opposite one another one term jewish state fact oxymoron,2,0,TRT Word,Turkey
@nassermj7671,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 34 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,1,1,TRT Word,Turkey
@DMC1982,nothing antiseptic zionist,1,0,TRT Word,Turkey
@Michael-ys7hw,typical jew dont hate although jew support israel like muslim arab support israel arab israel take part israeli army,0,0,TRT Word,Turkey
@yforonda,red heart red heart red heart red heart,0,0,TRT Word,Turkey
@paulpeter-po5rd,real jew godless evil occupier thanks supporting palestinian home land wish peace like thank,0,0,TRT Word,Turkey
@user-ui1lw9xb8o,erdogan mean turkey,0,1,TRT Word,Turkey
@Masonicon,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 30 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,2,0,TRT Word,Turkey
@paulpeter-po5rd,keep mouthing daddy america support question synagogue satan devil worshipper occupier daddy america longer empire dont forget empire last forever take stupid mouth shut door behind,0,0,TRT Word,Turkey
@paulpeter-po5rd,real jew mean,0,0,TRT Word,Turkey
@paulpeter-po5rd,name allah merciful boycott first make due boycott everything israel one everyone support including company product service food drink clothing footwear permanently buy emma owned produced product service tell everyone job copy paste comment want ask allah except,0,0,TRT Word,Turkey
@paulpeter-po5rd,thats called hijacking term exclusively specifically,0,0,TRT Word,Turkey
@brankojapanac4138,wearing mask,1,1,TRT Word,Turkey
@jamiah_alias1651,thank knowing truth,1,0,TRT Word,Turkey
@user-ic3dh9uy9z,real jew jewish christian muslim people book zionist evil,0,0,TRT Word,Turkey
@BadBunnyBaller,world waking zionist racist extremist ideology,0,0,TRT Word,Turkey
@stephanmoris2515,thank much honesty integrity compassion mean lot one humanity united hate segregation racism,12,0,TRT Word,Turkey
@MM-cn6sz,heart suit heart suit heart suit heart suit heart suit,0,0,TRT Word,Turkey
@kiwiwandering5358,well said young man peace,16,1,TRT Word,Turkey
@user-uv9tl4jt8w,palestinian abused western compassion used western donation raise radical generation money used help somalian sedan south sedan palestinian living west remain unwilling reconcile firm support israel military operation important safeguarding western value,2,3,TRT Word,Turkey
@user-jn9td8rw1u,dont u traitor even israel nerd looking attention,0,0,TRT Word,Turkey
@luctors,thank courage honesty know one day youll leader guide u right path humanity,2,0,TRT Word,Turkey
@rubis7142,israel one say stop killing child say bring home one person say stop massacre genocide gaza,0,1,TRT Word,Turkey
@SuperDarkBlackSanta,kid typical young stupid vintage,0,0,TRT Word,Turkey
@fatimasajid1546,human stand palestinian thank upholding truth,9,1,TRT Word,Turkey
@hp323,evil circular zionist taking advantage happened true jewish people evil purpose,0,0,TRT Word,Turkey
@tanweerqureshi220,good human young boy said truthfully may allah bless,9,0,TRT Word,Turkey
@madworld6801,true jew torah,0,0,TRT Word,Turkey
@tanweerqureshi220,dont need muslim condemn gaza genocide human,16,2,TRT Word,Turkey
@retrofedora7061,man speaks truth funny israeli even smite iron zionist antisemite respect people may god protect,5,0,TRT Word,Turkey
@ahmengtan6139,hamas dont want stop attacking israel protect citizen,0,3,TRT Word,Turkey
@bubbaclean9441,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 23 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,TRT Word,Turkey
@paulpeter-po5rd,israeli whole place palestine belongs palestinian fake jew dont belong anyway torah told return palestine evil wickedness thats real jew wont return palestine protest along side palestine supporter evil zionist occupier stop trying deceive people,0,0,TRT Word,Turkey
@ahmengtan6139,israel fully withdrawn gaza mean occupation israel withdrawn still rocket firing gaza suicide bomber gaza palestine never want peace non muslim country like israel problem,0,0,TRT Word,Turkey
@kevindonaghey8483,try occupation someone el country,3,0,TRT Word,Turkey
@TmanRock9,genocide occurring gaza dont need genius realize need able read,0,0,TRT Word,Turkey
@paulpeter-po5rd,absolutely true,1,0,TRT Word,Turkey
@dragondragonita9964,stand alien,0,0,TRT Word,Turkey
@paulpeter-po5rd,name allah merciful boycott first make due boycott everything israel one everyone support including company product service food drink clothing footwear permanently buy emma owned produced product service tell everyone job copy paste comment want ask allah except,0,0,TRT Word,Turkey
@helloworld441,none falling israeli pathetic propaganda mate keep trying though,0,0,TRT Word,Turkey
@paulpeter-po5rd,fool western value east idiot palestine palestinian land synagogue satan devil worshipper occupier information atheist one foolish idiot support synagogue satan occupier sit idiot,0,0,TRT Word,Turkey
@MegaEgipcia,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 18 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,TRT Word,Turkey
@paulpeter-po5rd,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 17 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,TRT Word,Turkey
@paulpeter-po5rd,difference make,0,0,TRT Word,Turkey
@Sarah23298,stand humanity free palestine,22,0,TRT Word,Turkey
@mangobrother,wow jewish person know history said herel correct zionist antijudaism irony israel respect young man drinking koolaid free thinker action,0,0,TRT Word,Turkey
@lymint9587,series actually include arab jew etc speak semitic language,2,0,TRT Word,Turkey
@vladimpaler5733,know deference jew zionist brother muslim jew christian brother zionist human evil seeing muslim jew christian killed people innocent kid cry everyday seeing innocent child side reason zionist lobby zionist dont care saying jew muslim christian israeli palestinian stealing land political benefit,0,0,TRT Word,Turkey
@andrewstryker3549,jew sent jew chamber point talking palestinian arab country kill palestinian palestinian like hamas us child cannon fodder would interesting perspective,0,1,TRT Word,Turkey
@Nasser-nq8nf,true jew zionist condemn genocide people thank jew speak killing oppression palestinian voice brings hope forgotten oppressed palestinian,0,0,TRT Word,Turkey
@sabiahamid6224,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 13 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,2,0,TRT Word,Turkey
@theenlightenedone1283,need adapt kindness mercy jacob israel joseph enlightened israelite,6,1,TRT Word,Turkey
@theenlightenedone1283,israelite christian muslim waiting promised messiah come,1,0,TRT Word,Turkey
@theenlightenedone1283,mama mo innocent israeli palestinian dont want war,1,0,TRT Word,Turkey
@theenlightenedone1283,israelite evil jewish government name changed jewishland,1,0,TRT Word,Turkey
@user-wb6su3ww6x,thank good guy obviously good heart common sense know history whats actually going,0,0,TRT Word,Turkey
@AscherDJones,exactly israeli flag represent judaism againts israeli military action antisemitismits call peace need real jew speak derail narrative pushed mainstream medium,0,0,TRT Word,Turkey
@sandrajones1609,much gratitude fearless integrity victory hand,5,0,TRT Word,Turkey
@nedal1alex123,ah yes caste belief entire world tiny strip land,0,0,TRT Word,Turkey
@hamedy3322,many jew theodore herel purpose establish jewishonly state back called prophet zionist reportedly atheist anyway got movement going gaining help funded british imperialist instead israel nothing ideology use judaism justify according scripture movement ethnic cleansing anyone lower even today jew still israel benjamin netanyahu quoted bible justify genocide somehow atheist well born poland zionist never represent judaism may allah open eye heart truth may allah grant u knowledge wisdom pierce veil ignorance hypocrisy damian,0,0,TRT Word,Turkey
@karimabenhaddou5459,honourable young man thank speaking truth justice free,6,0,TRT Word,Turkey
@tjmaxx4739,jewish group palestine group need get together point politician anti palestine western news medium support palestine state cease fire mean anti israel jewish religion hamas attack also right plus two wrong make right,0,1,TRT Word,Turkey
@RajReviewsDualSportPhotoGadget,,0,0,TRT Word,Turkey
@nadildasmapratama9751,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 46 MINUTES 04 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,TRT Word,Turkey
@paulpeter-po5rd,need learn velour declaration present make another comment disrespectful need learn true history also know thetorah tell jew return palestine,0,0,TRT Word,Turkey
@ScarfaceGGGG,sadly israel run jew zionist,0,0,TRT Word,Turkey
@tasneemmansoor7828,maybe talk fact israel condemned past using palestinian child human shield israel think palestinian le want gone israel terrorist state,0,0,TRT Word,Turkey
@BayuFil,shut hipster full belly,0,0,TRT Word,Turkey
@kingmufasa8929,couid back,1,0,TRT Word,Turkey
@kingmufasa8929,palestinian refugee hamas confirmed palestine belongs israel,2,1,TRT Word,Turkey
@SA-se9hx,truth teller,8,0,TRT Word,Turkey
@wobbegong4366,guaranteed brave man smeared self hating jew,16,5,TRT Word,Turkey
@oromtichaoromia1265,stupid crack head judaism begun creation state israel building place worshipotherwise god wouldnt require leave egyptthese people dont understand judaism prophet king david solomon leader state israel established instructed god dont think people actually israelite,0,0,TRT Word,Turkey
@WayOfDiplomacy,n't incomprehensible whole world support palestine oh wait zionist hardcore antisemites barbaric cunning invader act like nazi maybe thats,1,0,TRT Word,Turkey
@marwadimassi999,thank jewish people like speaking palestinian trying end genocide occupation hero im sure get lot backlash community family time speaking free palestine,119,1,TRT Word,Turkey
@vivavasquez,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 45 MINUTES 58 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,4,0,TRT Word,Turkey
@RachelDerGolem,huge israeli conspiracy prevent hamas qaeda hezbollah muslim brotherhood taliban islamic jihad isi saddam hussein ayatollah khomeini osama bin laden bashir assad grammar algaddafi syrian air force president putin bringing peace world,1,2,TRT Word,Turkey
@SarahYounes-il9gk,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 45 MINUTES 54 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,8,1,TRT Word,Turkey
@ninjiango9126,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 45 MINUTES 53 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,TRT Word,Turkey
@editing5157,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 45 MINUTES 51 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,7,0,TRT Word,Turkey
@toniprince4192,thanks powerful testimony thanks everyone take street airwave condemn israeli war crime genocide palestinian thanks everyone stand basic human right palestinian nobody free everybody free,54,0,TRT Word,Turkey
@myg1193,,7,0,TRT Word,Turkey
@humarakhan1731,stay justice,1,0,TRT Word,Turkey
@cyrilthomas1907,hey jew man go israel try speak like,0,0,TRT Word,Turkey
@SteveRogers461,red heart red heart red heart,1,0,TRT Word,Turkey
@carlosc2731,popular republic palestinian funded people muslim jew christian orthodox athens nationalist hindu living place equal right democratic constitution sexton lecture,4,0,TRT Word,Turkey
@nadine0803,refugee welcome germany red heart bring family,0,0,TRT Word,Turkey
@paulpeter-po5rd,name allah merciful boycott first make due boycott everything israel one everyone support including company product service food drink clothing footwear permanently buy emma owned produced product service tell everyone job copy paste comment want ask allah except,0,0,TRT Word,Turkey
@RachelDerGolem,yes beautiful rich,0,0,TRT Word,Turkey
