,author,comment,voteCount,replyCount,channel,country
0,@aleccap5946,anti british bac,0,0,BBC News,England
1,@darinanetopilova5148,whats point sending aid allowing israel monitor convoy palestine israel doubt reduce amount coming mass murdering violence direct attack starvation palestinian ultimate goal blocked aid coming every chance hadthe allowed truck feed million people first month relentless brutality destruction utter disgraced yet israel given another pas,0,0,BBC News,England
2,@muktaransary5920,bac news fake news propaganda,1,0,BBC News,England
3,@muktaransary5920,great palestine freedom fighter free palestine,0,0,BBC News,England
4,@welldefineduk,israeli state mo bad google israeli worldwide role repression decade exported weapon training surveillance tactic oppress world poorest vulnerable people support dictator pariah genocidal regime press murder people supported south african apartheid regime rhodesian apartheid regime hut massacre tutti pinch torture murder people list go disgusting u uk moral left openly support evil,0,0,BBC News,England
5,@dannywilliams5192,israel say want kill ceasefire,0,0,BBC News,England
6,@user-hn1zw5lm8v,ape ape beckhspitall remain clean guess tempura arzcomen israel arab zour know brazilian africa,0,0,BBC News,England
7,@jieli3313,chinese government generalized political censorship common people fish meat common people dont want bear consequence dictatorship doubt,0,0,BBC News,England
8,@user-hn1zw5lm8v,area merci titi merci wet temple prambanan java star lion ru juan run man area cally cloud arab comment,0,0,BBC News,England
9,@boriska666,red heart victory hand,0,0,BBC News,England
10,@xinma6034,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 54 MINUTES 11 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
11,@conner.9262,god child slaughtered group despicable dithering conscience appears per usual un run empire chaos usa uk glued arse lot jailed hamas israel would action idf lie deflection hear lie deflection regarding ukraine plus killed lie take word ex chancellor angela market statement proved yet u involvement guessed uk glued arse yet nothing short disgrace,0,0,BBC News,England
12,@peterbrough6022,ever wondered evil exists ever wondered would done evil german empire unleashed horror holocaust world war would followed crowd bent knee relinquished right free deadly darkness spread crime escalated escalated escalated would enabled evil would resisted dark side said name need wonder genocidal mass slaughter unfolding gaza ghetto eye world state israeli final solution palestinian question murdered far counting many child hear death bell tollinginnocent blood dripping murderous hand far go far let go answer america britain backing barbarity buck resource name power end genocide ending political support billion fundingbut government represent u corruption written like stick rock stand defeat dark side say name reference factual evidence see youtube video owen jones gaza textbook case genocide video duration min raz legal israeli associate professor holocaust genocide study stockman university discus depth meaning word genocide application israeli ongoing ethnic cleansing gaza miko peed palestine past present future melbourne australia dec,0,0,BBC News,England
13,@jath6313,dead complete unverified number given u hamas hamas terrorist organisation obviously interest reporting high casualty woman child would un bac participate spreading propaganda,1,0,BBC News,England
14,@raulitoramirez,resolution talked point providing humanitarian aid prohibited israel coverage mention u used veto get member change wording leave cessation un inspection speed aid get basically nothing killing point think fair problem,0,0,BBC News,England
15,@mokandil6824,clown world,0,0,BBC News,England
16,@hakunamatatatata,n't vote yes ceasefire day,0,0,BBC News,England
17,@linkmeforfun,providing humanitarian aid without ceasefire like fattening cow slaughtering u want palestinian fed provided medicare slaughtered zionazi criminal much palestinian blood must u continue demand fill filthy greed,0,0,BBC News,England
18,@sensei121,zionist ideology laid bare world see see support ideology within government infiltrated top witnessed leader rushing kiss israeli butt amount zionist funding receive political career immediate outright ban politician receiving funding part supporting foreign ideology detrimental country standing ought brought existenceand ban use nation state apparatus silence population opposition government open support genocide crime humanity majority government influenced foreign entity namely zionist ideology terrorist uniform murdering civilian population indigenous land occupied stolen,0,0,BBC News,England
19,@jamessedoff3877,bac worst worst save al sameera elitist bias fit narrative im surprised bac n't blamed war gaza climate change hopefully someday bac public funding tripe chardonnay,0,0,BBC News,England
20,@user-wq6sz7vt3w,hamas supporter need aid ever interested plight palestinian,1,0,BBC News,England
21,@thomaspenoyer9711,yeah believe even everyone term observed israel would still continue act like wanda ganda history let international administration permanent presence fair settlement,0,0,BBC News,England
22,@facehugger3,weve seen exactly humanitarian aid year gone havent hummus receive zero aid funding un,0,1,BBC News,England
23,@ajv1947,like feeding goat slaughtering inthe u veto stopping israeli bombardment war crime become partner genocide palestinian people,1,0,BBC News,England
24,@PhotoDesigner1,im american south zero affiliation ok,0,0,BBC News,England
25,@tariqomari,israel absolutely nothing without u uk life support,1,0,BBC News,England
26,@ijahan32,dont word describe,1,0,BBC News,England
27,@jawahirrabbani4796,hahaha world want ceasefire u dont,1,0,BBC News,England
28,@mmr5469,shame united nation american european government responsible genocide palestine,2,0,BBC News,England
