author,comment,voteCount,replyCount,channel,country
@user-pf7tf3rf1u,israeli military still bombing stop taxpayer dollar cruel israeli regime,0,0,NBC News,USA
@AlexWaniala-hi6sz,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 52 MINUTES 02 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@user-fo1ql8ht5d,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 56 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@user-ep6rt9ce1s,,0,0,NBC News,USA
@yili9725,crime,1,0,NBC News,USA
@user-vt4pm3ph9p,people palestine dont worry allah,0,0,NBC News,USA
@sid7804,israel wrong,0,0,NBC News,USA
@0kaplan0,israel apartheid state feed blood suffering death others look world map israel palestine today million palestinian palestine land robber thief settler,0,0,NBC News,USA
@gkep7,netanyahus zionist government idf wont rest theyve taken every palestinian life expelled israel must thank turkey arab nation least saving life making temporary ceasefire possible u uk government sided israel remained silent,0,0,NBC News,USA
@bislanmurtazov7919,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 53 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@Muhammadishoq-lj9zv,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 49 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@AtmiMaryati,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 48 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@fawazmughal5345,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 47 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@jascam1,enough two state solution rhetoric thats like usa talk gun control every active shooter incident talk people grab palestinian land aim creating total zionist state,0,0,NBC News,USA
@gkep7,palestinian people experiencing holocaust perpetrated auctioned netanyahu evil zionist dictator,0,0,NBC News,USA
@robdiv5848,turkey president right netanyahu butcher gaza another adolf hitler,0,0,NBC News,USA
@gkep7,stop genocide return palestine stolen land,0,0,NBC News,USA
@gkep7,netanyahu mass murderer,0,0,NBC News,USA
@user-zx7jn9ju8i,danced much october le energy long walk away,0,0,NBC News,USA
@a9b8c6,,0,0,NBC News,USA
@syyedridwanali6753,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 43 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@abubetts1846,going humanity,0,0,NBC News,USA
@candraastrajingga3890,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 41 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@alexalex-ff5db,hate skeptical annoyed undecided uneasy hesitant youtubeoenhzdhxa,0,0,NBC News,USA
@AJHyoton,although feel really bad people really kind way clear get choosing wrong religion nelson must say,0,0,NBC News,USA
@MohdfaizulrushdiRushdi,help people planting,0,0,NBC News,USA
@MohdfaizulrushdiRushdi,,0,0,NBC News,USA
@ch13583,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 38 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@johnsmith777lol,type life live peace stop jihad nonsense see problem self inflicted change direction,0,0,NBC News,USA
@user-ri4mq2sx3s,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 37 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@Rajyadav-td1ss,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 35 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,1,1,NBC News,USA
@_________________________Zebra,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 34 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,1,0,NBC News,USA
@ashauthay2347,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 51 MINUTES 33 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
