author,comment,voteCount,replyCount,channel,country
@aleccap5946,Anti British bbc again,0,0,BBC News,England
@darinanetopilova5148,What's the point of sending aid in when allowing Israel to monitor its convoy into Palestine. Israel will  no doubt do all they can to reduce the amount coming in as mass murdering through violence  direct atttacks and starvation of Palestinians is the ultimate goal of theirs. They blocked the aid coming in at every chance they had...They only allowed 20 trucks in to feed over 2 million!!! people after the first month of their relentless brutality and destruction. This is an utter disgrace..and yet again Israel is being given another pass,0,0,BBC News,England
@muktaransary5920,Bbc news fake news proganda.,1,0,BBC News,England
@muktaransary5920,Great Palestin freedom fighters. Free Palestin.,0,0,BBC News,England
@welldefineduk,"The Israeli State MO is bad - google ""Israel's worldwide role in repression"", and how the for decades they have exported weapons, training, surveillance, and tactics to oppress some of the worlds most poorest and vulnerble people, and how they support dictators, pariahs, and genocidal regimes who opress and murder their own people.
They supported south africa's apartheid regime, rhodesia's apartheid regime, the Hutu massacre of 800k Tutsi, Pinochet's torture and murder of 40k of his own people, the lists go on and on.... Disgusting how the US & UK have no morals left, and openly support this evil!",0,0,BBC News,England
@dannywilliams5192,israel says it wants to kill 40.000 before a ceasefire,0,0,BBC News,England
@user-hn1zw5lm8v,....v apus apus.... !! To.. beck.hspitall?? N preman byclean ( nuers n dr ).. n. Tempuran??? N arzcomen isrel.. arab... .. dj zourk knoc n brazill..n. africa !!,0,0,BBC News,England
@jieli3313,The Chinese government has generalized political censorship to the common people! Fish and meat common people! They don't want to bear any consequences! this is dictatorship no doubt!,0,0,BBC News,England
@user-hn1zw5lm8v,..... area sout merapi 30km from. Titik on... merspi ....!! Wet tsmple prambanan......!!. Java...!! 1970.stfkr gljo...n. r5u jmusan r5u......n 9 x man area by cally cloud n arab comment.....!!!,0,0,BBC News,England
@boriska666,❤️✌️,0,0,BBC News,England
@xinma6034,Gaza gameover,0,0,BBC News,England
@conner.9262,"My god, children being slaughtered and this group of despicable’s dithering with no conscience it appears. As per usual the UN run by the empire of chaos the USA and the UK glued to their arse….. this lot should be jailed ….. IF HAMMAS was in Israel would the actions of the IDF be the same ….?? Lies and deflection….. we hear the same lies and deflection regarding Ukraine, 450K plus killed OVER MORE LIES …. do not have to take my word Ex Chancellor Angela Merkel statements have proved that ..?? Yet again the US involvement and you guessed it, the UK glued to their arse yet again ….. nothing short of a disgrace…..",0,0,BBC News,England
