author,comment,voteCount,replyCount,channel,country
@anneeloilima7383,Eu acho que eles já estavam mortos só de  serem sequestrado era morte certa,0,0,CNN Brasil,Brasil
@anneeloilima7383,"Não existe regra em guerra quando  se começa uma só Deus pra resolver. 
Lembrando que quem começou  essa guerra  foi o Hamas  os terroristas  a extremo os monstro  .",0,0,CNN Brasil,Brasil
@JeronimolimaCanutoLima-ro1tn,Estes incrédulos não ⛔⛔ estão vendo que ista em guerra porque ficam fazendo motinhi no meio dosiescombros,1,0,CNN Brasil,Brasil
@JeronimolimaCanutoLima-ro1tn,Isto e uma guerra otario,1,0,CNN Brasil,Brasil
@user-rt8pe7fg4i,"Guerra é foda, qualquer coisa vc sai atirando com medo de morrer",0,0,CNN Brasil,Brasil
@fernandomonteiro6577,SEMPRE FOI ASSIM CONTRA OS PALESTINOS: FOI SEM QUERER QUERENDO,0,0,CNN Brasil,Brasil
@user-bf2sf3ke2n,NOSSA ESSE QUE É O MELHOR ECERCITO DO MUNDO KKKKKK,0,0,CNN Brasil,Brasil
@heitorsergipe,"quem bombardeia hosítais, templos religiosos, escolas, não mata por acidente",0,0,CNN Brasil,Brasil
@agnaldotrindade1041,Oremos a Deus que traga a paz a esses países que estão em guerra em nome de Jesus,0,0,CNN Brasil,Brasil
@edvanvlog3912,Para CNN. Jogada do Hamas.. Ninguém comfia em ninguém. Lugar de tensao. Nao pode brincar. Agora e os caras do Hamas q mataram uma porrada de inocente por conta própria. Sem enganar..,0,0,CNN Brasil,Brasil
@tigercasten8135,São exército de malignos ,0,0,CNN Brasil,Brasil
@vaneguasqueiro7775,Essa CNN mais crítica do que fala a verdade,0,0,CNN Brasil,Brasil
@kitebatistalima2562,numa guerra tudo  pode acontecer longe das Câmaras . infelizmente,0,0,CNN Brasil,Brasil
@ciceroluiztavaresfilho5029,Tem que eliminar o Hamas e seus apoiadores!,0,0,CNN Brasil,Brasil
@edimarnunes5015,"Não é força de defesa,se fosse força de defesa,estariam nas suas fronteira e não em território palestino,mas eles são forças de assassinos,de mulheres e crianças.",0,0,CNN Brasil,Brasil
@adrianelongo,"Difícil ver esse jornal,  ruim demais!",0,0,CNN Brasil,Brasil
@technotoniatv.,"Coisa boa bem feito, ainda vai chupar as bolas do Netanyahu? Isso é o que acontece com idólatras de políticos.",0,0,CNN Brasil,Brasil
@user-yr9qe3lz4q,"Que pena, não conseguiram voltar para a terra prometida. ",0,0,CNN Brasil,Brasil
@cristianomariano2914,"""por engano"".. sei...",0,0,CNN Brasil,Brasil
