Unnamed: 0.1,Unnamed: 0,author,comment,voteCount,replyCount,channel,country
0,0,@claraaquino2912,Agora Israel q é o violento é coisa viu,0,0,CNN Brasil,Brasil
1,1,@paulocruzsantos3943,Forças Israel,0,0,CNN Brasil,Brasil
2,2,@aghathadriandarlian,"Israel ta fazendo  um grande favor para o mundo se destruir Hamaz,  tenho pena das crianças  inocentes  😢",0,0,CNN Brasil,Brasil
3,3,@julionguyen2084,"Fico com pena com as pessoas que não tem nada a ver com o conflito. Sejam elas judeus, muçulmanos e até mesmo cristãos. Mas como diziam, a guerra não é sobre quem ganha e sim é quem resta.",1,0,CNN Brasil,Brasil
4,4,@idelmabezerramelobatista9941,Força Israel estamos juntos 😊,3,0,CNN Brasil,Brasil
5,5,@sadaka.sanpaku,"Im from Brasil,  freepalestine ❤❤❤",0,0,CNN Brasil,Brasil
6,6,@neidevital548,Ai retiram petroleo uam dinheiro pra bancar o terror ai a midia quer colocar a culpa em quem estava em casa descansando enquanto isso no quata o futebol paga bem pros mercenarios neee,0,0,CNN Brasil,Brasil
7,7,@osvaldosoares377,Viva israel 🇧🇷🇮🇱,0,0,CNN Brasil,Brasil
8,8,@jbm9691,"Israeli authorities impose a system of domination and oppression against the Palestinian people in Israel and the Occupied Palestinian Territories (OPT), and against Palestinian refugees. Laws, policies, and institutional practices all work to expel, fragment, and dispossess Palestinians of their land and property, and deprive Palestinians of their human rights. We conclude this treatment amounts to an institutionalized regime of oppression and domination defined as apartheid under international law.",0,0,CNN Brasil,Brasil
9,9,@marcoluzdoval7512,Viva Israel !!! Pelo fim dos terroristas !!,0,0,CNN Brasil,Brasil
10,10,@williammoraescorrea1698,@wraithBR  Com passagem rápida pela cidade de Pau Grande (SP). Lá tu procuras Ricardão Mala Grossa. Ele tem um tratamento VIP pra falsos judeus de internet meia boca. KKKK,1,0,CNN Brasil,Brasil
11,11,@williammoraescorrea1698,"@wraithBR  Pois é, pois é, pois é. E ainda tem uma vaga a Cubatão. Você vai amar. Lá é tudo grande. KKKKKKKK",1,0,CNN Brasil,Brasil
12,12,@williammoraescorrea1698,Hammas tá peiando pra Israel. KKKK,0,0,CNN Brasil,Brasil
13,13,@williammoraescorrea1698,"​ @wraithBR  Pois é, pois e, pis éE ainda tem uma vaga a Cubatão. Você vai amar. Lá e tudo grane. KKKKKKKK",1,0,CNN Brasil,Brasil
14,14,@fernandojosefrazaoroque7899,QUEM TEM TELHADO  DE VIDROS...NÃO   JOGA PEDRA NO VIZINHO,0,0,CNN Brasil,Brasil
15,15,@mariafranciscanascimento7531,Mas poupem as vidas dos civis acerte so nos grupos do Hamas,0,0,CNN Brasil,Brasil
16,16,@CrazyFF7-rf1dm,"<a href=""https://www.youtube.com/watch?v=cs8Mq3pG-4o&amp;t=0m40s"">0:40</a> Olha a cara do garotinho de 8 anos.",0,0,CNN Brasil,Brasil
17,17,@vinifrss,"Yzrael tá descontrolado, tem que ser parado urgente",6,0,CNN Brasil,Brasil
18,18,@vinifrss,"Ué e as milhares de kryansas que tão sendo despedassadas, vão fugir pra onde?",5,0,CNN Brasil,Brasil
19,19,@levimarques4438,"Israel quer paz. Deseja paz. Gaza não. Então, quem pode mais chora menos.",0,0,CNN Brasil,Brasil
20,20,@vinifrss,Yzrael estado tterrrorysta,5,0,CNN Brasil,Brasil
21,21,@casadasaguas3993,Jenosydio total,4,0,CNN Brasil,Brasil
22,22,@alexandrefonseca2273,"Gaza é um lugar estratégico só para cometer crimes terroristas, por está dentro do território de ISRAEL, e tem que ser anexado para evitar crimes terroristas.",0,0,CNN Brasil,Brasil
23,23,@luciaoliveiradossantosalbu6140,"&quot; O ÉXERCITO DE ISRAEL É DE BÁRBAROS E ASSASSINOS &quot; !!! 😮😢   NATANYAHU ERA PARÁ ESTÁ NA CADEIA, PÔR CRIME CONTRA A HUMANIDADE !!! 😮😢",0,0,CNN Brasil,Brasil
24,24,@cristianoaviladeoliveira6384,"PARABÉNS ISRAEL! Exterminem o Hamas,Hesbollah e apoiadores. Foda-se a imprensa e a ONU! DEUS ABENÇOE ISRAEL!!!",0,0,CNN Brasil,Brasil
25,25,@telitera,Força Israel!,1,0,CNN Brasil,Brasil
26,26,@marcosbrito7166,Israel. Exército protegido por Deus.,2,0,CNN Brasil,Brasil
27,27,@user-ox3sv8ow3j,"Já são mais de 2 meses e as Gazelas da Tribo de Judá e o Grande Satã E.U.A. não soltaram 1 refém,<br>muito menos acabaram com o Hamas.<br>Só mataram civis, idosos, mulheres e crianças<br>Tudo pela sede de roubar mais terras palestinas.",0,0,CNN Brasil,Brasil
28,28,@heronildesjosedasilva821,Fugi pra onde?????,4,0,CNN Brasil,Brasil
29,29,@davidamaro1112,OS JUDEUS ATUAIS  FAZEM HITLER PARECER RAZOAVEL COM SUAS ATITUDES.....<br>&quot;CULTUAMOS OS NOSSOS ANTEPASSADO E A TERRA EM QUE VIVEMOS&quot; ...BY RABINO JUDEU NA REDE SOCIAL.....ISRAEL COM O APOIO DO FANTOCHE CHAMADO O.N.U. CONTROLADO PELOS ESTADOS UNIDOS....CRIARAM A MAIOR PRISÃO DO MUNDO ONDE OS PRISIONEIROS SÃO A POPULAÇÃO CIVIL (MULHERES IDOSOS E CRIANÇAS) ...ONDE ATÉ A ÁGUA É DOSADA POR ISRAEL...ELES QUEREM TOMAR O RESTANTE DO TERRITÓRIO DESTE POVO ..POR ISTO COM O APOIO DE JUDEUS DOS ESTADOS UNIDOS COM DUPLA CIDADANIA E  ENCRUSTADOS NO PODER ESTÃO EXTERMINANDO TODO UM POVO COMO SE FOSSEM VERMES....,0,0,CNN Brasil,Brasil
30,30,@heronildesjosedasilva821,Misericórdia!!!!!,1,0,CNN Brasil,Brasil
31,31,@Ivete_Curiosa,"Israel vai vencer e derrotar o Hamas, pelo menos na Faixa de Gaza. 🙌🇮🇱🇧🇷",4,0,CNN Brasil,Brasil
32,32,@degavieira3832,HAMAS precisa passar por essa situação pra nunca mais mexer com o povo de Deus,1,0,CNN Brasil,Brasil
33,33,@antonioricardoalvesdacosta2887,"Israel ainda esta semdo muito gentil  em espalhar panfletos para avisar a população dos ataques. Ve se a tal da Rússia fez isto. Fez foi invadir a Ucrânia e matar inquantidade de civis e crianças sem avisar nada. Ai sim crime de guerra. Mais Israel foi atacado e civis sequestrados e mortos por terroristas. Entao tem sim,  que se defender e acabar com vizinho terroristas",0,0,CNN Brasil,Brasil
34,34,@dizoio21,Os cristãos brasileiros são mais cheios de ódio que qualquer extremista religioso no mundo,0,0,CNN Brasil,Brasil
35,35,@user-zw4mc4fn6x,Dessa vez o hamas se lasco Bonito,3,0,CNN Brasil,Brasil
36,36,@sergiofabel7351,FORÇA ISRAEL!!! PAU NO MALDITO HAMAS!!!,1,0,CNN Brasil,Brasil
37,37,@user-vz9sd3zw3u,"Dessa vida ninguém leva nada! E estão se matando por liderança que nem lá estão!!!!...foi por esses lados que Jesus andou né!!! Olha, esse não foi  o ensinamento que ele  deixou😢",3,0,CNN Brasil,Brasil
38,38,@casadasaguas3993,Yzrael jenosyda,4,0,CNN Brasil,Brasil
39,39,@albanitaferreira4551,Parabéns para os libanêses.,8,0,CNN Brasil,Brasil
40,40,@terezaaugustamaciel6649,Boa israel,3,0,CNN Brasil,Brasil
41,41,@terezaaugustamaciel6649,Bravo ISRAEL❤,1,0,CNN Brasil,Brasil
42,42,@filhodorei-dv1sw,"✌️🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱 FORÇA ISRAEL DEUS É CONTIGO,RUMO A VITÓRIA CONTRA ESSES DEMÔNIOS",12,0,CNN Brasil,Brasil
43,43,@crisfraga9124,O monstro já tem acusações de estupro e latrocínio e está solto pq?<br>Tem que acabar essa história de &quot;seguro&quot;,6,0,CNN Brasil,Brasil
44,44,@CloroquinaNaveia-nq3fp,O genocídio de Israel segue forte.como apoio do biden,0,0,CNN Brasil,Brasil
45,45,@helenbellanda3742,Tudo muito triste! Mas o TERRORISMO não pode prevalecer. Foi infame e insano😢,20,0,CNN Brasil,Brasil
46,46,@elearamariamanfred8340,"Ais de 7 mil CRIANÇAS PALESTINAS MORTAS POR ISRAEL... Você não tem empatia ? Se fosse seu filho ou neta mortas por Israel, tudo bem ?",13,0,CNN Brasil,Brasil
47,47,@elearamariamanfred8340,NOJO DESSE GOVERNO DE ISRAEL GENOCID4,1,0,CNN Brasil,Brasil
48,48,@oscarmuller3239,Bonba violenta CNN é pouco que Israel tá fazendo,0,0,CNN Brasil,Brasil
49,49,@sidneybalut3236,Força Israel!,6,0,CNN Brasil,Brasil
50,50,@stonesrock,Que merd@ de lugar seguro é esse ?? O Genocídi@ palestino acontecendo pro MUNDO inteiro testemunhar. BASTA!!!!,1,0,CNN Brasil,Brasil
51,51,@aparecidodonizete4178,"Que o Deus de Abraão, Isaque e Jacó continue abençoando a ISRAEL em nome do Senhor Jesus Cristo amém!",13,0,CNN Brasil,Brasil
52,52,@ricardomarques1305,Pra cima Israel!!!!!,6,0,CNN Brasil,Brasil
53,53,@williammoraescorrea1698,A única Vitoria que Israel vai ver é a capital do Espirito Santo. KKKKK,7,0,CNN Brasil,Brasil
54,54,@williammoraescorrea1698,Esse é o povo creino que não acredita em Jesus. O capeta é o lider de Israel.,1,0,CNN Brasil,Brasil
55,55,@williammoraescorrea1698,Israel nunca terá paz enquanto existir Israel.,6,0,CNN Brasil,Brasil
56,56,@williammoraescorrea1698,Em Israel so tem areia e gente feia. Muito feia mesmo. Medonha. KKKKK,2,0,CNN Brasil,Brasil
57,57,@williammoraescorrea1698,"Acorda, fofa! Deus é por Israel? Nunca@ israel traiu e humilhou o Filho de Deus. Israel não acredita em Jesus. Já era pra eles.",1,0,CNN Brasil,Brasil
58,58,@williammoraescorrea1698,Israel ta entrando é na taca. KKKK,5,0,CNN Brasil,Brasil
59,59,@williammoraescorrea1698,"Todo dia Israel faz isso, destrói aquilo, mas não chega a luga algum e o Hammas continua firme e forte.",12,0,CNN Brasil,Brasil
60,60,@williammoraescorrea1698,Fonte: Titia me contou. KKKKK,2,0,CNN Brasil,Brasil
61,61,@williammoraescorrea1698,Ainda vai ser ??? Pensavems que já havviam terminado. KKKK,5,0,CNN Brasil,Brasil
62,62,@deusefiel9375,"Israel 🇮🇱 já consegui destruir 500 dos 800 túneis na Faixa de Gaza .<br><br>👏🏻‼️ Netanyahu: “Se o Hamas for destituído, não vamos entregar a Faixa de Gaza para a Autoridade Palestina. Não vamos repetir erros dos Acordos de Oslo”.",0,0,CNN Brasil,Brasil
63,63,@VERDADESEJADITA2023,TA MAIS QUE NA CARA QUE É MESMO UMA<br>LIMPEZA ÉTNICA !!!!!<br>O H4M4S É APENAS UMA DESCULPA !!!!!!<br>só tr0uxA não enxerga isso !!!!!!!!!<br>Puro G3N0CÍD10 !!!!!!,2,0,CNN Brasil,Brasil
64,64,@wraithBR,"Vai vendo,Gavendo.",0,0,CNN Brasil,Brasil
65,65,@wraithBR,"Maravilha, deveria abranger tantos países quanto possível!",2,0,CNN Brasil,Brasil
66,66,@joalicenovaes1481,"Uma coisa é certa o povo palestino e HAMAS nunca terão paz enquanto esses demônios israelenses existirem. Há mais de 100 anos que esses demônios perseguem o povo palestino, quando em 1948 com o apoio dos EUA dividiram a palestina e criou o Estado de Israel, intensificaram mais ainda as perseguições, prendem crianças palestinas, torturam, matam, cometem atrocidades 24 horas ao povo palestino principalmente com crianças. Usam a Bíblia para para enganar uma parte tola  humanidade, alteraram a Bíblia e os nomes de locais como deserto mediterrâneo, Canaã, Sinai, Hebron por Israel, uma vez que Israel nem existia como estado. Tudo isso para tomar as riquezas da Palestina, da terra que emana leite e mel.<br>A palestina é do povo palestino, são eles o povo escolhido. <br>FORÇA HAMAS!<br>PALESTINA LIVRE!",0,0,CNN Brasil,Brasil
67,67,@worldtraveller1900,Go IDF !,1,0,CNN Brasil,Brasil
68,68,@franciscoclaudio7058,"Ratos são pragas, tem q ser controlados......",0,0,CNN Brasil,Brasil
69,69,@joalicenovaes1481,"Mostre aí uma cidade de Israel terrorista destruída pelo Hamas.<br>Mentirosos, todos servidores de satã. É em Israel que satã instalou seu trono.",0,0,CNN Brasil,Brasil
70,70,@joalicenovaes1481,"Forças de defesa não, exército terrorista.",0,0,CNN Brasil,Brasil
