author,comment,voteCount,replyCount,channel,country
@pal6917,"Es ist nicht zu belegen, dass die Waffenruhe von der Hamas gebrochen wurde, auch wenn Israel das behauptet. Wann beginnt per Definition ein Völkermord? So fördert man Terrorismus, der auch die Unterstützer in Europa erreichen könnte.",0,0,DW Deutsch,Germany
@user-rg3xx3ch5u,"New-yorkTimes : Die Zahl der zivilen Todesopfer stieg auf 16.000, darunter 6.000 Kinder, 5.000 unter den Trümmern in etwa eineinhalb Monaten. Israel tötete in einem Monat doppelt so viele Kinder und Frauen in Gaza wie Russland in der Ukraine in zwei Jahren und sind wie in Afghanistan seit 20 Jahren mehr Zivilisten getötet worden. Schande über euch für diese Dualität. Was in der Ukraine passiert, ist dasselbe, sogar schlimmer. Ist palästinensisches Blut billiger als ukrainisches? Schämt euch!!",0,0,DW Deutsch,Germany
@Revanidis,Wenn sie Waffenstillstand wollen sollen sie was gegen die hamas machen... es sind 2mio gegen 50k,1,0,DW Deutsch,Germany
@user-zi3cv3mj5h,Gut gemacht Israel ! Nivelliert die Hunde !,2,0,DW Deutsch,Germany
@montanawaled4375,Iran terrorist Regime Unterstützung alle terrorist,1,0,DW Deutsch,Germany
@idaguiligashvili978,"Wenn folk erlaubt 10 Monate alte Baby als Geiseln nehmen und dann umbringen, wie kann diese Leute friedlich nennen.",1,0,DW Deutsch,Germany
@angelheartkrone182,Es ist so das Israel Nicht Gegen diese Menschen kämpft sonden gegen die Hamas die Terror und Tod gebracht haben weil sie hassen .Warum hassen sie ?????? Sie sind ein Todeskult .Die kleinen Kinder werden indoktrainiert.Sogar die Kindersendungen sind voll davon egal um was es geht Israel ist schuld so heißt es deswegen schmeißen Kinder mit Steinen weil das Gehirnwäsche ist,0,0,DW Deutsch,Germany
@ericm.8110,"Eins muss man Israel lassen. Die wissen wie man aufräumt. 
Wir sollten uns auch gegen die ganzen Moslems wehren.",0,0,DW Deutsch,Germany
@andriacosic2893,"Wo ist Hamas es giebt keine Hamas mehr Hamas ist kaputt,,,",0,0,DW Deutsch,Germany
@n.a.9241,"Das israelische Ziel ist Gaza Menschen leer zu bekommen. Israelische Premier und seine Minister haben offen verkündet, Gaza auszulöschen und eigene neue Siedlungen dort zu bauen. Dazu einen Kanal für die Schifffahrt durch Gaza zu bauen und vor Gaza auch das Gasfeld weiter zu plündern.
Parallel läuft leise die ethnische Säuberung in der Westbank.",0,0,DW Deutsch,Germany
@n.a.9241,"""Diese Palästinenser taugen ja nichts"" oder ""lassen wir das mal zu, damit wir da endgültig alle töten können""",0,0,DW Deutsch,Germany
@josejimenez3762,Spanien ist ein Nest von IS Terroristen ...seit Jahren.,0,0,DW Deutsch,Germany
@hamzafurkan467,"Was all die Jahre israelische Apartheid Regime durch zieht  ist  Staatsterror....Hamas ist nur ein Vorwand um israels Vertreibungen und  Kriegsverbrechen  zu legitimieren...Seit 7.Oktober wurden im Westjordanland , die nicht von Hamas regiert wird und  trotzdem da über 280 Palästinenser getötet und über 2300 verhaftet..Terror erzeugt Terror...Wenn israel gegen Hamas kämpft ist Ok.verstehe ich auch aber nicht gegen Krankenhäuser,  Schulen, Kirchen ,Moscheen gegen die Zivilbevölkerung gegen all die Frauen und Kindern !!! Wo bleiben die Menschenrechte ..? Das Recht für sauberes Wasser , Lebensmitteln, Medikamenten...? Genfer Konventionen..? Was für Russland gilt , gilt das nicht etwa für israel..? Was für ein Doppelmoral..Leider  vor allem Europa die für diese Werte sich stark gemacht hat, hat bei dieser Konflikt ihre Glaubwürdigkeit, Ernsthaftigkeit verloren und sollten ab jetzt keinen Land mehr versuchen zu belehren...",0,0,DW Deutsch,Germany
@timurakay6463,"Israel hat das Recht sich zu verteidigen,Auch Deutschland sagt das ,und das ist gut so. Es sind unschuldige Israelis getötet worden . Das wichtigste ist das die Geißeln befreit werden .Mag sein das 100 oder 200 Palestinensische unschuldige getötet werden ,aber dennoch ,Die Geiseln muss man befreien ,Alles andere ist egal ,Das sicht EU und auch die USA so.",0,0,DW Deutsch,Germany
@user-xh6cj1hd6e,palastina wird frei sein ,3,0,DW Deutsch,Germany
@bissigekatze23,"1:49 ich denke,es ging  euch nicht gut im Gefängnis  und unter den Hamas kann es kein gutes Leben geben.
 Manche haben doch den Überfall , am 07.10. , auf Israel gefeiert und die Geiseln bespuckt,
geschlagen .
Den Hamas sind palästinensische und israelische Menschenleben egal ",1,0,DW Deutsch,Germany
@AlexAlex-oz4gx,Israel muss sanktioniert werden!!!!!,0,0,DW Deutsch,Germany
@danielkobelt633,"Die Wahrheit ist, daß die Hamas den Waffenstillstand gebrochen hat und nur noch Tote Geiseln eintauschen wollten.",0,0,DW Deutsch,Germany
@danielkobelt633,Die Hilfsgüter werden weiter von der Hamas gestohlen.,0,0,DW Deutsch,Germany
@danielkobelt633,Wer hätte gedacht das die Hamas unter Aufsicht so vieler UNO Mitarbeitern zu einem solchem Schlag ausholen konnte.,0,0,DW Deutsch,Germany
@user-rg3xx3ch5u,Die Palästina-Krise wird ein Schandfleck auf der Stirn der Menschheit bleiben,0,0,DW Deutsch,Germany
@SonnyBrln,FREE PALESTINE,15,1,DW Deutsch,Germany
@pressnews8918,"Natürlich,War es HAMAS die den Frieden gebrochen haben  Deutsche Komödie Medien  Diese Medien gehören vor Kriegs Gericht,wie Mittäter eines Genozid .",0,0,DW Deutsch,Germany
@rosemarie2841,"Die Opfer (Schutzschilde der Hamas) in Gaza haben das Mitgefühl der Menschen! Kein Mitgefühl mit den Menschen/Kinder/Babys, die von den Hamas abgeschlachtet wurden?",0,0,DW Deutsch,Germany
@serifeuzun8487,Der Norden wurde Bombardiert sie wurden nach Süden geschickt... jetzt bombardieren sie Süden .Die arme Palästinenser wieviel Leid müssen sie noch ertragen .Die zwei Staaten Lösung muss eingeführt werden.,1,0,DW Deutsch,Germany
