author,comment,voteCount,replyCount,channel,country
@wapitiboobiz613,Et moins 50% sur les chaussures !!!,1,1,FRANCE 24,France
@pierredupuy-zj4ho,Il a tout gagné   LOL,0,0,FRANCE 24,France
@maryjuanna4801,Un beau souvenir de Gaza  bien mérité qu'il gardera toute sa vie,12,0,FRANCE 24,France
@user-nx9be5cr4t,BIBI EN SLIP A GHAZA,0,0,FRANCE 24,France
@bebetoromario5131,Il y a une très grande différence entre un réserviste chetif et un résistant aguerrie,1,0,FRANCE 24,France
@louloute0699,Et ce  vaillant soldat a assassiné et blessé combien de bébés avant de perdre sa jambe?,0,0,FRANCE 24,France
@danubebleu.9430,"Netanyahu est enragé comme
Un taureau blessé.",0,0,FRANCE 24,France
@SlamiEton,"Le prix de l’horreur !  Les enfants palestiniens eux , n’ont pas le choix: ils sont morts !",0,0,FRANCE 24,France
@SlamiEton,"Quelle raclée !
La libération des otages … morts ?",0,0,FRANCE 24,France
@ramy58,Va t’inscrire à la caf la France te donnera la légion d’honneur et une grosse pensions.,0,0,FRANCE 24,France
@tijanimoncef5314,,0,0,FRANCE 24,France
@user-st9qc7fp8d,On avait jamais vu celà auparavant.  Mais j'ai bien peur que les israéliens devraient s'y habituer maintenant.,0,0,FRANCE 24,France
@ThiernohamidouBa-ty1zg,C'est petites pour vous,0,0,FRANCE 24,France
@moribasanogo5300,Je regarde des vidéos de combat avec ce que je vois le hamas ne perdra jamais . C'est comme si s'était un jeux vidéo en mode force spéciale les soldats israéliens meurent comme des canards ,2,1,FRANCE 24,France
@nargesse4592,"Combien de civils palestiniens ont perdu  d'enfants , de père,  de mère,  de familles , de proches et  de vies depuis la colonialisation de leur pays ? En 60 derniers jours seulement,  20 000 civils palestiniens dint 7000 enfants sont tués par des bombardements israeliens.",0,0,FRANCE 24,France
@nomprenom7902,Que dieu les maudisse amen,0,0,FRANCE 24,France
@alioundour41,Merci la Palestine,0,0,FRANCE 24,France
@mortallaniang5474,Bravo le hamas,0,0,FRANCE 24,France
@pascalheimbach861,"Que Netanyahou aille lui même sur le champ de bataille pour montrer l'exemple. 
Les premiers ministres chevaliers n'existent pas.",0,0,FRANCE 24,France
