author,comment,voteCount,replyCount,channel,country
@Truthteller93,"This conflict in Gaza has similarities with stories in many religious epics. There is a poor and tormented population of Gaza. There is a most powerful ruler (Biden) who is killing children of these poor people through his vassal (Netanyahu). This type of scenario is described in Old Testament, New Testament, Quran (Pharaoh-Moses story) and so many others. On top of that this massacre is being done in the land of prophets, where Jesus Christ was crucified under conspiracy by Romans (the world power of the time). The parallels should bother every one.",1,0,NBC News,USA
@dontbanmebrodontbanme5403,"I voted for Joe Biden, because the alternative was Trump. I CANNOT, in good conscious, stand by and watch as thousands of Palestinians are gunned down and bombed and their homes destroyed, and we're gaslit and told that Israel is trying to be careful. No, Israel is committing genocide with my tax dollars. Sorry Biden, I can't STAND Trump and things would probably be just as bad if he was president, but I KNOW what I'm getting with you and I don't like it.",0,0,NBC News,USA
@twmda5068,".+ + + + + 
 Enhance Your Satisfaction 
…. Understand Your Existence
 …. sear ch EXISTNC",0,0,NBC News,USA
@cavanzki,Thank you Hamas yeheey ,0,0,NBC News,USA
@Dayjob351,Hamas doesnt care about life so They get what equals their actions.,0,0,NBC News,USA
@nader89,The world never forgive Hamas for causing this!,0,0,NBC News,USA
@cutereptile,Israel not exist only satan choosen child,0,0,NBC News,USA
@fidelcerda4594,They asked for this and they got it.,0,0,NBC News,USA
@channelI748,"Blitzkrieg

Kapo",0,0,NBC News,USA
@yokoNa678,So much for celebrating too early ,0,0,NBC News,USA
@theemporium5899,"You cry for Oct 7th
We have been crying for 70 years
Oppression must have active resistance. You cannot oppress any nation and expect them to be eliminated like animals. Know the truth of Palestine. Know the truth of the reality of your heart because if you believe that murdering every child and baby, woman and man will bring peace in your heart then you do not fear the wrath of God ",1,0,NBC News,USA
@Bella-mp5pu,"Yeah okay lol

They mean to say ""Israel sending ground forces into Northern Gaza"" where nobody is alive. Israel forces cannot fight on the ground in live, active combat. They have little to zero experience in wars. They are afraid to die and they've been trained poorly. They might have all the bells and whistles but, they lack leadership within Israeli military. That would be equivalent to sending Captain Kangaroo  to train Israeli soldiers how to fight. ",0,0,NBC News,USA
@reyinfante5553,It is sadder that these palestinians voted for these terrorists as leaders.   These Hamas terrorists started the attack and they should bear the consequences.,0,0,NBC News,USA
@user-hi8st2oz9r,REPENT N BELIEVE N JESUS CHRIST HOLY NAME N BE SAVED THY N THY HOUSEHOLD ACTS 16:31,0,0,NBC News,USA
