author,comment,voteCount,replyCount,channel,country
@mariela7521,,0,0,TRT Word,Turkey
@fatinhermiz8729,"Thank you Jewish  people actually no body is against Jews but they want to present it this way 
Know the say divid to rule this is the policy is imperialism",1,0,TRT Word,Turkey
@khdmhd2947,Also Palestinians are semites! The Jews and Arabs are cousins and belong to the same ancestor. They are children of Abraham,1,0,TRT Word,Turkey
@smoothsnooze,❤❤❤❤,0,0,TRT Word,Turkey
@hamisbayoumi7795,"Semitic people are Arabs too not just Jews..maybe someone needs to spread this now!
Arabs can’t be antisemitic when they ARE semitic",1,0,TRT Word,Turkey
@greenyellow1200,FREE PALESTINE ,0,0,TRT Word,Turkey
@user-fu8mw9ny9m,"Thank you , true child of God",0,0,TRT Word,Turkey
@santhoshnanjundarao2887,"World Soil Day is observed on 5 December to raise awareness about the importance of soil, healthy ecosystems, and human well-being. On 6 December 1956, he passed away. The day is observed to commemorate his unforgettable contribution to society and his achievements.",0,0,TRT Word,Turkey
@KING_OF_KINGS_ANDLORD_OF_LORDS,"All of us living on earth must wake up! We are living in the end times!

[THE TRIBULATION OF JERUSALEM AND THE COMING OF THE SON OF MAN]
When you see Jerusalem surrounded by armies, know that its destruction is near.

Then those who are in Judea will flee to the mountains, and those who are within the city will go out, and those who are in the countryside will not enter there.

These are the days of punishment to fulfill all that is written.

Woe to those with child and to those giving suckling in those days, for there will be great tribulation on the earth and wrath for this people.

They will fall by the edge of the sword and be carried away into captivity to all nations, and Jerusalem will be trodden down by the Gentiles until the times of the Gentiles are fulfilled.

There will be signs in the sun, moon, and stars, and on the earth the peoples will be troubled and confused because of the roar of the sea and the waves.

People will faint from fear at what is coming on the world, because the powers of the heavens will be shaken.

Then they will see the Son of Man coming in a cloud with power and great glory.

But when these things begin to happen, stand up and lift up your heads, for your redemption draws near.""

Brothers and sisters!
No one is left out!
A person ""must"" be born again as a child of GOD (new life of the Holy Spirit) to enter the Kingdom of heaven.

John 3:3
Jesus answered, “Truly, truly, I say to you, unless a person is born again , he cannot see the kingdom of God.”

John 5:21-22
For just as the Father raises the dead and gives life to them, so the Son gives life to whom he wills.
For the Father judges no one, but has committed all judgment to the Son.""

Hebrews 9:27-28
It is appointed for man to die once, and after this the judgment.
So Christ, having been offered once to bear the sins of many, will appear a second time, apart from sin, to bring salvation to those who are eagerly waiting for him.""

May the LORD’s Grace and Mercy be upon everyone ❤️",0,0,TRT Word,Turkey
@FreePalestine_____,I have nothing but respect for my Jewish cousins who are voicing against the unjust war.,3,0,TRT Word,Turkey
@qaiserkhan4318,"People like him should be a part of administration...
Thanks Young man, May Allah bless you.",1,0,TRT Word,Turkey
@Najda007,Great guy. Thank you for speaking out.,1,0,TRT Word,Turkey
@thedarkone5049,Brave anti imperialist!,1,0,TRT Word,Turkey
@paulpeter-po5rd,"In The Name Of ALLAH the Most Merciful.
Boycott is what we can all do, first make dua then boycott everything israil ownes and everyone that supports them, including all, company's, products, servives, food, drinks, clothing and footwear PERMANENTLY,  buy umma owned and produced products and services. Tell this to everyone because this is how we will do our job.  Copy and paste this comment if you want
I ask ALLAH to except this from me.",1,0,TRT Word,Turkey
@goldarrrdigi8588,I strongly condemned Israeli occupation and terrorism,1,0,TRT Word,Turkey
@magdalen5108,Jewish representaion in defending human rights of Palestinian is so important because their ancestors experienced similar traumas and genocide.,0,0,TRT Word,Turkey
@lawusaputra9451,"American citizens wake up help U$$ Ll83Rty Army get justice, they were brutally massacred by isr43L in WW2.
check out the documentary film",0,0,TRT Word,Turkey
@trique9776,Israel will endure until the end when they will see Jesus coming on the clouds and 144k will believe and be saved from hell and wrath to come. Now is the time to believe Jesus is Lord and repent and trust in him to save them!,1,0,TRT Word,Turkey
@imranhossein3546,"I appreciate you and all Jewish people who stand with truth and innocent civilians of Gaza, Palestine  We love and respect Jewish❤️ people but not Zionism. Because Zionist Israeli have been occupied Palestinian won land and killing innocent children, women and men of Gaza Palestine 
We don't want to see if it's innocent Jewish people of Israel and innocent civilians of Gaza, Palestine ",1,0,TRT Word,Turkey
@nwankwosampson-xk3jc,You don't represent jews either ,0,0,TRT Word,Turkey
@user-hf2pn4df8p,"NO..JUSTIC NO..PEACE..
*This world is full of INJUSTIC.
*How nations can be so...
INSENSITIVE.  {OPPRESSED}
 Stand Up with PALESTINE..",2,0,TRT Word,Turkey
@Ana-rb7ws,❤️,0,0,TRT Word,Turkey
@davidf3821,Speaking the truth! From another Jew who is horrified  by what Israel is doing.,3,0,TRT Word,Turkey
@Believerofunseen1309,Respect for all jewish people for you voice against oppression. Someone who believes in any God can never support this killings..,1,0,TRT Word,Turkey
@trilogy8239,"Don’t ever trust the Jewish,",0,0,TRT Word,Turkey
@brainyclassmates4372,Thank you sir for speaking the truth,0,0,TRT Word,Turkey
@user-by2tg1xt7u,Thank you sir.  We need to preserve human rights and make people safe as first priorities.,0,0,TRT Word,Turkey
@thatsawesome2060,"I don't understand how antisemitic been use exclusively towards israel, while ignoring tfey were atacking other groups of semitic people, but didn't held accountable for that antisemitism itself.",0,1,TRT Word,Turkey
@kroubian,"Most likely brought up in a non religious household, that is ok, but he sounds like the product of brainwashing happening in schools and universities.",0,0,TRT Word,Turkey
@androidboss,,0,0,TRT Word,Turkey
@othersbyuri,Self hating for being anti genocide ‍♀️ disgusting. Thank you for speaking out for peace!,4,0,TRT Word,Turkey
@SajidKhan-jg8bk,❤️❤️❤️,0,1,TRT Word,Turkey
