author,comment,voteCount,replyCount,channel,country
@Edvaarveru,"sie dachte, dass sie sterben muss, weil Internet abgebrochen war?
seltsame Sicht auf Bedrohung eigenes Lebens.",0,0,ZDFheuteNachrichten,Germany
@berndlangner5068,Stopt den Terror.,2,0,ZDFheuteNachrichten,Germany
@biggiba1995,"Ich finde dass sich viele Deutsche und Moslems mehr Videos vom Massaker ansehen sollten 
Sie sehen sich nur Videos vom Krieg in Gaza an
Der natürlich grausam ist 
Aber mir läuft es bei solchen Videos kalt über den Rücken 
Wo man Menschen bestialisch ermordete 
Ohne Krieg 
Wenn ich mir solche Videos vom Massaker ansehe dann fehlt mir jegliches Verständnis für die schreienden Demonstranten",0,0,ZDFheuteNachrichten,Germany
@martinocatania1404,Islam ist auch in Europa eine gefahr,1,0,ZDFheuteNachrichten,Germany
@stappie45,nun konten die deutschen mahl nachdenkenuber die seit als sie hamas weren in 1930--1945,0,0,ZDFheuteNachrichten,Germany
@sawekoszczygiel5576,ich haette net so Viel Gnade mit hamas wie IDF ...,0,0,ZDFheuteNachrichten,Germany
@xxxyx8470,"Vielen Dank für diese völlig unausgewogene und abhängige Berichterstattung!  Die Palästinenser werden meistens nur als Nummern genannt, während die Israelis immer als leidende Menschen gezeigt werden. Hört auf mit eurer politische Medien Doppelmoral und erzählt den Menschen in Deutschland die ganze Wahrheit  Es ist zum Kotzen ",0,0,ZDFheuteNachrichten,Germany
@jussi667,"Bei der großen Waffenlobby und was alles am Finanzen für den Krieg getan wird. 
Wundert mich die Ausstattung der Hamas nicht.
Traurig für die Menschen dort....!",0,0,ZDFheuteNachrichten,Germany
@S.Wolff.,"Warum ziehen die dort nicht einfach alle weg und vor allem, warum hat man den Palestinern ihr Land weggenommen.",0,0,ZDFheuteNachrichten,Germany
@S.Wolff.,"Palestina ist das Ursprungsland von Jesus. Indem sich dort all diese Juden niederlassen und unrechtmäßig einen Staat gegründet haben, verstießen Sie gegen allgemeine Gesetzmäßigkeiten. Sie haben sich selbst in diese gefährliche Situation begeben und brauchen sich nicht wundern dass solche Dinge passieren. Lasst Palestina Palestina sein, und geht in ein anderes Land.",0,0,ZDFheuteNachrichten,Germany
@S.Wolff.,"Warum haun die nicht einfach ab da? Oh man, wie blöd ey.",0,0,ZDFheuteNachrichten,Germany
